| end of epoch 120 | time:  2.29s | train_loss 0.0006 | valid rse 0.6797 | valid rae 0.7482 | valid corr  0.9176 | valid smape  0.1411 | focus_rrse 0.6806 | obj 0.6804
| end of epoch 121 | time:  2.27s | train_loss 0.0003 | valid rse 0.6370 | valid rae 0.7179 | valid corr  0.9169 | valid smape  0.1439 | focus_rrse 0.6966 | obj 0.6787
| end of epoch 122 | time:  2.25s | train_loss 0.0003 | valid rse 0.6455 | valid rae 0.7247 | valid corr  0.9180 | valid smape  0.1460 | focus_rrse 0.7112 | obj 0.6915
| end of epoch 123 | time:  2.25s | train_loss 0.0004 | valid rse 0.6547 | valid rae 0.7151 | valid corr  0.9177 | valid smape  0.1436 | focus_rrse 0.7088 | obj 0.6926
| end of epoch 124 | time:  2.25s | train_loss 0.0005 | valid rse 0.5867 | valid rae 0.6556 | valid corr  0.9168 | valid smape  0.1445 | focus_rrse 0.6986 | obj 0.6650
| end of epoch 125 | time:  2.29s | train_loss 0.0003 | valid rse 0.6351 | valid rae 0.7108 | valid corr  0.9160 | valid smape  0.1458 | focus_rrse 0.7009 | obj 0.6811
| end of epoch 126 | time:  2.30s | train_loss 0.0005 | valid rse 0.6967 | valid rae 0.7603 | valid corr  0.9179 | valid smape  0.1430 | focus_rrse 0.6980 | obj 0.6976
| end of epoch 127 | time:  2.25s | train_loss 0.0003 | valid rse 0.6638 | valid rae 0.7382 | valid corr  0.9180 | valid smape  0.1439 | focus_rrse 0.7027 | obj 0.6910
| end of epoch 128 | time:  2.26s | train_loss 0.0004 | valid rse 0.6553 | valid rae 0.7234 | valid corr  0.9186 | valid smape  0.1411 | focus_rrse 0.6786 | obj 0.6716
| end of epoch 129 | time:  2.23s | train_loss 0.0003 | valid rse 0.6387 | valid rae 0.7158 | valid corr  0.9177 | valid smape  0.1424 | focus_rrse 0.6915 | obj 0.6757
| end of epoch 130 | time:  2.26s | train_loss 0.0004 | valid rse 0.6145 | valid rae 0.6896 | valid corr  0.9177 | valid smape  0.1434 | focus_rrse 0.7181 | obj 0.6871
| end of epoch 131 | time:  2.25s | train_loss 0.0003 | valid rse 0.6628 | valid rae 0.7307 | valid corr  0.9190 | valid smape  0.1423 | focus_rrse 0.6790 | obj 0.6742
| end of epoch 132 | time:  2.23s | train_loss 0.0003 | valid rse 0.6963 | valid rae 0.7589 | valid corr  0.9179 | valid smape  0.1418 | focus_rrse 0.6981 | obj 0.6976
